vin	V(n002)	I(D1)
2.084346917351674e-01	6.896655e-02	8.915450e-09
2.132897594007960e-01	7.056921e-02	9.326151e-09
2.182579161200826e-01	7.220893e-02	9.761659e-09
2.233417960754812e-01	7.388653e-02	1.022385e-08
2.285440948074371e-01	7.560287e-02	1.071477e-08
2.338675706435987e-01	7.735883e-02	1.123665e-08
2.393150461613188e-01	7.915530e-02	1.179192e-08
2.448894096842227e-01	8.099318e-02	1.238325e-08
2.505936168136357e-01	8.287340e-02	1.301355e-08
2.564306919956820e-01	8.479691e-02	1.368602e-08
2.624037301248859e-01	8.676466e-02	1.440416e-08
2.685158981851259e-01	8.877765e-02	1.517180e-08
2.747704369288118e-01	9.083685e-02	1.599319e-08
2.811706625951740e-01	9.294330e-02	1.687295e-08
2.877199686685780e-01	9.509800e-02	1.781623e-08
2.944218276777940e-01	9.730202e-02	1.882866e-08
3.012797930371783e-01	9.955642e-02	1.991648e-08
3.082975009307405e-01	1.018623e-01	2.108657e-08
3.154786722400961e-01	1.042207e-01	2.234658e-08
3.228271145173272e-01	1.066327e-01	2.370494e-08
3.303467240037974e-01	1.090995e-01	2.517102e-08
3.380414876959903e-01	1.116223e-01	2.675524e-08
3.459154854594677e-01	1.142020e-01	2.846915e-08
3.539728921920683e-01	1.168400e-01	3.032564e-08
3.622179800374944e-01	1.195372e-01	3.233907e-08
3.706551206504581e-01	1.222950e-01	3.452543e-08
3.792887875145912e-01	1.251144e-01	3.690262e-08
3.881235583143451e-01	1.279966e-01	3.949064e-08
3.971641173621400e-01	1.309427e-01	4.231188e-08
4.064152580820488e-01	1.339538e-01	4.539144e-08
4.158818855513347e-01	1.370311e-01	4.875748e-08
4.255690191011873e-01	1.401757e-01	5.244164e-08
4.354817949780394e-01	1.433885e-01	5.647947e-08
4.456254690668718e-01	1.466706e-01	6.091101e-08
4.560054196779539e-01	1.500228e-01	6.578136e-08
4.666271503984945e-01	1.534462e-01	7.114134e-08
4.774962930107169e-01	1.569415e-01	7.704830e-08
4.886186104779043e-01	1.605094e-01	8.356700e-08
4.999999999999989e-01	1.641505e-01	9.077058e-08
5.116464961403759e-01	1.678653e-01	9.874169e-08
5.235642740254486e-01	1.716540e-01	1.075738e-07
5.357596526188020e-01	1.755169e-01	1.173724e-07
5.482390980715912e-01	1.794538e-01	1.282570e-07
5.610092271509803e-01	1.834645e-01	1.403624e-07
5.740768107484400e-01	1.875483e-01	1.538409e-07
5.874487774697633e-01	1.917044e-01	1.688643e-07
6.011322173087049e-01	1.959315e-01	1.856262e-07
6.151343854061891e-01	2.002280e-01	2.043444e-07
6.294627058970820e-01	2.045918e-01	2.252632e-07
6.441247758465652e-01	2.090203e-01	2.486565e-07
6.591283692782017e-01	2.135104e-01	2.748298e-07
6.744814412958249e-01	2.180585e-01	3.041229e-07
6.901921323014404e-01	2.226603e-01	3.369122e-07
7.062687723113751e-01	2.273109e-01	3.736124e-07
7.227198853729616e-01	2.320045e-01	4.146781e-07
7.395541940841015e-01	2.367350e-01	4.606040e-07
7.567806242181018e-01	2.414953e-01	5.119248e-07
7.744083094562383e-01	2.462779e-01	5.692137e-07
7.924465962305542e-01	2.510744e-01	6.330795e-07
8.109050486794624e-01	2.558763e-01	7.041626e-07
8.297934537187777e-01	2.606744e-01	7.831293e-07
8.491218262308694e-01	2.654592e-01	8.706651e-07
8.689004143746849e-01	2.702213e-01	9.674666e-07
8.891397050194585e-01	2.749511e-01	1.074232e-06
9.098504293049887e-01	2.796393e-01	1.191654e-06
9.310435683314306e-01	2.842771e-01	1.320406e-06
9.527303589816204e-01	2.888561e-01	1.461139e-06
9.749222998790193e-01	2.933687e-01	1.614470e-06
9.976311574844364e-01	2.978080e-01	1.780976e-06
1.020868972334761e+00	3.021681e-01	1.961191e-06
1.044648065427016e+00	3.064440e-01	2.155603e-06
1.068981044751113e+00	3.106318e-01	2.364651e-06
1.093880811974773e+00	3.147285e-01	2.588728e-06
1.119360569284166e+00	3.187318e-01	2.828182e-06
1.145433826383883e+00	3.226408e-01	3.083321e-06
1.172114407659957e+00	3.264548e-01	3.354414e-06
1.199416459509741e+00	3.301742e-01	3.641700e-06
1.227354457842511e+00	3.337998e-01	3.945391e-06
1.255943215754786e+00	3.373331e-01	4.265676e-06
1.285197891384428e+00	3.407758e-01	4.602727e-06
1.315133995947686e+00	3.441301e-01	4.956706e-06
1.345767401963453e+00	3.473984e-01	5.327765e-06
1.377114351669078e+00	3.505834e-01	5.716054e-06
1.409191465632222e+00	3.536878e-01	6.121720e-06
1.442015751563298e+00	3.567144e-01	6.544914e-06
1.475604613333187e+00	3.596662e-01	6.985791e-06
1.509975860201002e+00	3.625461e-01	7.444514e-06
1.545147716256789e+00	3.653568e-01	7.921252e-06
1.581138830084184e+00	3.681014e-01	8.416187e-06
1.617968284648135e+00	3.707824e-01	8.929508e-06
1.655655607412949e+00	3.734027e-01	9.461421e-06
1.694220780696006e+00	3.759648e-01	1.001214e-05
1.733684252262651e+00	3.784713e-01	1.058190e-05
1.774066946167870e+00	3.809246e-01	1.117093e-05
1.815390273850499e+00	3.833270e-01	1.177950e-05
1.857676145485855e+00	3.856808e-01	1.240788e-05
1.900946981602798e+00	3.879881e-01	1.305635e-05
1.945225724971395e+00	3.902509e-01	1.372522e-05
1.990535852767478e+00	3.924711e-01	1.441479e-05
2.036901389020555e+00	3.946507e-01	1.512540e-05
2.084346917351668e+00	3.967913e-01	1.585739e-05
2.132897594007955e+00	3.988946e-01	1.661112e-05
2.182579161200821e+00	4.009623e-01	1.738697e-05
2.233417960754806e+00	4.029959e-01	1.818532e-05
2.285440948074366e+00	4.049967e-01	1.900658e-05
2.338675706435981e+00	4.069661e-01	1.985117e-05
2.393150461613181e+00	4.089055e-01	2.071951e-05
2.448894096842220e+00	4.108160e-01	2.161207e-05
2.505936168136350e+00	4.126989e-01	2.252931e-05
2.564306919956813e+00	4.145553e-01	2.347170e-05
2.624037301248851e+00	4.163862e-01	2.443974e-05
2.685158981851251e+00	4.181926e-01	2.543394e-05
2.747704369288110e+00	4.199754e-01	2.645483e-05
2.811706625951732e+00	4.217357e-01	2.750296e-05
2.877199686685771e+00	4.234742e-01	2.857887e-05
2.944218276777931e+00	4.251918e-01	2.968316e-05
3.012797930371774e+00	4.268894e-01	3.081640e-05
3.082975009307396e+00	4.285675e-01	3.197922e-05
3.154786722400951e+00	4.302270e-01	3.317222e-05
3.228271145173262e+00	4.318685e-01	3.439606e-05
3.303467240037964e+00	4.334926e-01	3.565141e-05
3.380414876959892e+00	4.351001e-01	3.693893e-05
3.459154854594666e+00	4.366915e-01	3.825932e-05
3.539728921920672e+00	4.382674e-01	3.961330e-05
3.622179800374932e+00	4.398282e-01	4.100160e-05
3.706551206504569e+00	4.413746e-01	4.242497e-05
3.792887875145899e+00	4.429070e-01	4.388420e-05
3.881235583143439e+00	4.444259e-01	4.538006e-05
3.971641173621387e+00	4.459318e-01	4.691337e-05
4.064152580820475e+00	4.474250e-01	4.848496e-05
4.158818855513333e+00	4.489061e-01	5.009569e-05
4.255690191011860e+00	4.503754e-01	5.174643e-05
4.354817949780380e+00	4.518332e-01	5.343807e-05
4.456254690668704e+00	4.532801e-01	5.517155e-05
4.560054196779524e+00	4.547162e-01	5.694779e-05
4.666271503984930e+00	4.561421e-01	5.876776e-05
4.774962930107154e+00	4.575579e-01	6.063245e-05
4.886186104779028e+00	4.589640e-01	6.254288e-05
5.000000000000000e+00	4.603607e-01	6.450007e-05
