vin	V(n002)	I(D1)
5.000000000000000e-02	1.656325e-02	1.098145e-09
5.116464961403771e-02	1.694896e-02	1.128808e-09
5.235642740254498e-02	1.734365e-02	1.160457e-09
5.357596526188033e-02	1.774753e-02	1.193129e-09
5.482390980715925e-02	1.816082e-02	1.226865e-09
5.610092271509817e-02	1.858372e-02	1.261706e-09
5.740768107484414e-02	1.901647e-02	1.297697e-09
5.874487774697647e-02	1.945929e-02	1.334883e-09
6.011322173087064e-02	1.991242e-02	1.373313e-09
6.151343854061907e-02	2.037610e-02	1.413037e-09
6.294627058970835e-02	2.085056e-02	1.454110e-09
6.441247758465668e-02	2.133607e-02	1.496586e-09
6.591283692782034e-02	2.183289e-02	1.540524e-09
6.744814412958267e-02	2.234126e-02	1.585987e-09
6.901921323014422e-02	2.286147e-02	1.633039e-09
7.062687723113768e-02	2.339378e-02	1.681749e-09
7.227198853729634e-02	2.393849e-02	1.732189e-09
7.395541940841033e-02	2.449586e-02	1.784434e-09
7.567806242181035e-02	2.506621e-02	1.838565e-09
7.744083094562401e-02	2.564983e-02	1.894666e-09
7.924465962305562e-02	2.624703e-02	1.952825e-09
8.109050486794643e-02	2.685813e-02	2.013137e-09
8.297934537187796e-02	2.748345e-02	2.075700e-09
8.491218262308714e-02	2.812331e-02	2.140619e-09
8.689004143746869e-02	2.877806e-02	2.208004e-09
8.891397050194605e-02	2.944804e-02	2.277974e-09
9.098504293049908e-02	3.013361e-02	2.350650e-09
9.310435683314328e-02	3.083513e-02	2.426164e-09
9.527303589816226e-02	3.155296e-02	2.504655e-09
9.749222998790216e-02	3.228749e-02	2.586271e-09
9.976311574844388e-02	3.303911e-02	2.671165e-09
1.020868972334764e-01	3.380820e-02	2.759505e-09
1.044648065427019e-01	3.459518e-02	2.851465e-09
1.068981044751115e-01	3.540046e-02	2.947233e-09
1.093880811974775e-01	3.622447e-02	3.047006e-09
1.119360569284168e-01	3.706763e-02	3.150994e-09
1.145433826383885e-01	3.793040e-02	3.259424e-09
1.172114407659960e-01	3.881322e-02	3.372533e-09
1.199416459509744e-01	3.971656e-02	3.490576e-09
1.227354457842514e-01	4.064090e-02	3.613824e-09
1.255943215754788e-01	4.158672e-02	3.742567e-09
1.285197891384430e-01	4.255452e-02	3.877115e-09
1.315133995947689e-01	4.354480e-02	4.017798e-09
1.345767401963456e-01	4.455810e-02	4.164968e-09
1.377114351669081e-01	4.559493e-02	4.319004e-09
1.409191465632225e-01	4.665584e-02	4.480311e-09
1.442015751563301e-01	4.774140e-02	4.649322e-09
1.475604613333191e-01	4.885216e-02	4.826501e-09
1.509975860201006e-01	4.998871e-02	5.012349e-09
1.545147716256793e-01	5.115164e-02	5.207400e-09
1.581138830084187e-01	5.234157e-02	5.412229e-09
1.617968284648139e-01	5.355910e-02	5.627457e-09
1.655655607412953e-01	5.480488e-02	5.853749e-09
1.694220780696011e-01	5.607956e-02	6.091823e-09
1.733684252262656e-01	5.738381e-02	6.342454e-09
1.774066946167875e-01	5.871829e-02	6.606476e-09
1.815390273850504e-01	6.008370e-02	6.884791e-09
1.857676145485860e-01	6.148075e-02	7.178374e-09
1.900946981602803e-01	6.291018e-02	7.488279e-09
1.945225724971400e-01	6.437270e-02	7.815649e-09
1.990535852767483e-01	6.586909e-02	8.161719e-09
2.036901389020561e-01	6.740011e-02	8.527834e-09
